Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
POEM_RS485_Controller_sb_0/CCC_0/Primitives,0,0,0,0,0,0,1,1,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/Controller_Interface_0/RS_485_Controller_0/Primitives,243,146,0,0,0,0,0,0,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/Controller_Interface_0/TPSRAM_C0_0/TPSRAM_C0_0/Primitives,0,0,36,36,0,1,0,0,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/Controller_Interface_0/Tx_Controller_0/Primitives,454,101,0,0,0,0,0,1,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/Controller_Interface_0/baud_clk_0/Primitives,7,6,0,0,0,0,0,1,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/Controller_Interface_0/sequence_detector_0/Primitives,5,12,0,0,0,0,0,0,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/CoreAPB3_C0_0/CoreAPB3_C0_0/Primitives,2,0,0,0,0,0,0,0,0,0,0,0,0,0
POEM_RS485_Controller_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,0,0,1
POEM_RS485_Controller_sb_0/POEM_RS485_Controller_sb_MSS_0/Primitives,11,0,0,0,2,0,0,0,1,0,0,0,0,0
Primitives/Primitives,1,0,0,0,3,0,0,0,0,0,0,0,0,0
