SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,POEM_RS485_Controller_sb_0.CORERESETP_0.ddr_settled_q1,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,POEM_RS485_Controller_sb_0.CORERESETP_0.ddr_settled,Different Clock Domains,YES,2,YES,Safe CDC path detected.
2,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif0_core_q1,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif0_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
3,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif1_core_q1,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif1_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
4,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif2_core_q1,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif2_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
5,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif3_core_q1,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,POEM_RS485_Controller_sb_0.CORERESETP_0.release_sdif3_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
6,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.VeRRptcNt0[31:0],baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
7,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.VeRRptcNt0_1[31:0],baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
8,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.Tx_complete,baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
9,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.i_tx[31:0],baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
10,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.tx_reg,baud_clk|o_clock_inferred_clock,sequence_detector|detect_inferred_clock,POEM_RS485_Controller_sb_0.Controller_Interface_0.TPSRAM_C0_0.TPSRAM_C0_0.TPSRAM_C0_TPSRAM_C0_0_TPSRAM_R0C0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
11,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.tx_reg,baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
12,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.tx_enable,baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
13,POEM_RS485_Controller_sb_0.Controller_Interface_0.Tx_Controller_0.un1_tx_enable[2:0],baud_clk|o_clock_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
14,POEM_RS485_Controller_sb_0.Controller_Interface_0.TPSRAM_C0_0.TPSRAM_C0_0.TPSRAM_C0_TPSRAM_C0_0_TPSRAM_R0C0,sequence_detector|detect_inferred_clock,Tx_Controller|Tx_complete_inferred_clock,POEM_RS485_Controller_sb_0.Controller_Interface_0.RS_485_Controller_0.ram_raddr[9:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
15,POEM_RS485_Controller_sb_0.Controller_Interface_0.RS_485_Controller_0.ram_raddr[9:0],Tx_Controller|Tx_complete_inferred_clock,POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,POEM_RS485_Controller_sb_0.POEM_RS485_Controller_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
16,POEM_RS485_Controller_sb_0.Controller_Interface_0.RS_485_Controller_0.PRDATA[9:0],POEM_RS485_Controller_sb_CCC_0_FCCC|GL0_net_inferred_clock,Tx_Controller|Tx_complete_inferred_clock,POEM_RS485_Controller_sb_0.Controller_Interface_0.RS_485_Controller_0.ram_raddr[9:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
